AGS;turnout;elec_cdu_csu;elec_spd;elec_greens;elec_fdp;elec_linke;elec_afd;elec_others
1001;56.300;17.328;14.402;37.054;5.044;5.960;6.285;13.925
1002;58.900;16.796;16.429;36.988;4.834;5.960;5.925;13.068
1003;54.600;20.353;19.413;31.644;4.613;4.676;7.485;11.816
1004;48.200;24.437;18.351;27.110;5.343;3.614;9.585;11.560
1051;54.400;31.081;17.819;20.982;7.786;3.466;8.865;10.002
1053;60.200;27.289;17.461;25.799;6.325;3.470;9.152;10.504
1054;58.900;30.372;16.280;29.253;5.742;3.173;5.665;9.516
1055;58.400;29.292;19.053;25.402;6.157;2.941;8.076;9.079
1056;63.000;26.134;17.366;28.901;6.323;3.661;7.804;9.811
1057;63.700;27.293;17.568;29.769;5.441;3.108;7.287;9.534
1058;62.500;28.667;16.634;29.308;5.554;3.108;6.778;9.951
1059;59.800;29.004;16.162;30.437;4.993;3.291;6.011;10.101
1060;59.500;27.085;16.774;26.933;6.713;3.654;8.183;10.658
1061;57.700;28.752;16.381;26.864;6.125;3.591;7.776;10.511
1062;65.400;26.779;16.216;29.363;6.885;3.368;7.958;9.430
2000;61.900;17.700;19.818;31.104;5.569;6.953;6.485;12.371
3101;64.200;22.590;19.905;28.046;5.164;4.739;6.848;12.707
3102;51.200;25.170;25.683;14.774;4.177;4.777;14.988;10.431
3103;56.500;28.952;24.080;17.916;4.957;3.617;10.197;10.280
3151;60.800;31.634;21.100;19.131;4.793;3.195;9.781;10.365
3152;;;;;;;;
3153;58.400;28.769;24.421;17.237;4.892;3.925;10.272;10.484
3154;58.400;30.692;24.781;16.227;4.952;3.465;9.180;10.703
3155;56.100;27.943;27.388;19.010;4.932;3.217;8.129;9.381
3156;;;;;;;;
3157;62.000;26.649;26.141;19.296;4.596;3.496;9.309;10.513
3158;64.400;27.619;23.309;21.214;4.946;3.543;8.938;10.432
3159;60.300;25.607;22.302;25.277;4.516;4.378;6.784;11.137
3241;64.000;24.624;20.849;26.154;4.898;4.462;8.080;10.933
3251;62.200;32.206;20.207;21.481;6.288;3.375;7.500;8.943
3252;58.400;28.431;23.330;20.595;4.709;3.863;9.844;9.228
3254;62.400;27.973;23.085;22.686;4.486;3.726;8.361;9.683
3255;59.900;29.921;28.179;16.625;5.741;2.789;8.328;8.418
3256;56.700;32.681;21.714;20.226;4.800;3.114;8.647;8.818
3257;58.700;27.660;24.084;21.758;4.455;3.163;9.015;9.866
3351;60.200;32.356;18.050;19.833;5.595;3.247;10.928;9.992
3352;61.800;37.691;20.561;18.020;3.822;3.374;8.083;8.449
3353;66.500;28.819;16.287;26.233;6.007;3.359;8.598;10.698
3354;59.000;26.917;17.066;28.586;3.906;5.532;7.454;10.540
3355;66.900;24.924;18.575;28.550;4.132;4.782;7.549;11.488
3356;62.600;28.459;20.536;24.336;4.776;4.802;8.051;9.040
3357;62.200;35.306;18.096;21.544;5.280;3.304;7.272;9.199
3358;59.200;31.141;22.202;20.108;5.072;3.108;9.018;9.352
3359;62.300;31.571;18.967;22.796;4.836;3.522;8.457;9.849
3360;61.700;32.826;19.967;20.693;5.114;3.376;8.795;9.230
3361;64.200;30.468;20.897;23.558;4.636;3.546;7.759;9.136
3401;52.600;24.922;22.145;20.125;4.780;4.886;11.856;11.287
3402;60.300;18.552;28.994;21.600;4.882;5.679;9.453;10.840
3403;64.900;19.108;17.201;35.722;4.634;6.435;5.223;11.676
3404;64.100;23.676;17.727;33.265;4.775;5.308;4.798;10.451
3405;53.400;26.062;25.964;19.655;4.387;3.774;9.261;10.898
3451;64.800;30.498;19.741;23.538;5.998;3.446;7.038;9.742
3452;60.200;24.303;28.567;19.416;4.814;3.803;9.099;9.997
3453;55.000;47.763;13.480;15.613;5.535;2.733;7.458;7.417
3454;62.800;49.230;14.765;16.418;5.092;2.420;5.443;6.631
3455;62.100;27.714;25.155;20.578;5.327;3.411;7.748;10.068
3456;67.100;39.015;23.699;18.471;4.688;2.639;4.726;6.762
3457;55.800;26.995;25.604;20.015;4.650;3.690;9.038;10.008
3458;62.900;28.472;18.056;25.294;6.838;3.671;7.765;9.904
3459;62.700;36.109;19.880;22.453;4.975;3.116;5.621;7.845
3460;64.300;48.928;11.852;18.162;5.768;2.352;6.067;6.871
3461;54.500;27.988;23.437;21.647;5.292;3.840;7.895;9.902
3462;53.000;31.792;23.158;18.803;4.995;3.093;8.759;9.400
4011;65.200;21.962;24.184;23.451;4.617;7.979;7.152;10.656
4012;52.100;21.645;26.287;18.156;5.135;6.801;10.911;11.065
5111;63.500;24.676;15.236;29.187;8.471;4.809;6.907;10.713
5112;50.100;19.900;24.519;19.545;5.236;5.777;11.999;13.026
5113;59.200;23.422;20.935;22.769;6.442;4.625;10.763;11.044
5114;57.900;26.761;18.277;24.493;7.562;4.713;7.785;10.410
5116;54.800;29.892;16.088;22.719;7.048;4.409;8.663;11.182
5117;62.600;23.889;21.189;22.970;7.614;4.234;9.656;10.448
5119;55.000;22.048;24.889;18.692;5.285;5.008;12.200;11.878
5120;56.400;27.277;19.272;21.444;6.816;4.440;9.890;10.861
5122;57.400;25.716;17.621;24.725;7.203;4.814;9.144;10.777
5124;58.800;22.319;18.602;25.393;6.250;6.140;9.770;11.525
5154;60.300;35.903;17.043;21.723;7.102;3.239;6.403;8.586
5158;63.800;28.857;17.342;23.280;7.953;3.532;8.858;10.178
5162;63.100;32.424;16.284;21.672;8.673;3.197;8.011;9.738
5166;62.100;32.757;15.973;23.630;7.870;3.415;7.033;9.323
5170;61.300;27.263;22.490;20.695;6.572;4.305;9.071;9.604
5314;69.500;23.027;15.425;31.931;7.031;4.868;5.974;11.744
5315;64.600;19.792;16.974;32.877;6.240;6.124;6.170;11.822
5316;60.000;26.109;19.943;22.695;6.671;4.269;9.415;10.897
5334;61.400;26.704;19.867;24.620;6.026;4.444;6.901;11.439
5354;;;;;;;;
5358;60.400;32.402;20.057;17.130;7.105;3.562;9.676;10.069
5362;63.800;28.741;19.944;20.988;7.753;3.450;9.280;9.845
5366;61.300;33.785;16.422;18.392;8.491;3.373;9.655;9.883
5370;58.900;35.797;16.657;19.075;6.417;3.679;8.402;9.971
5374;61.000;31.717;17.543;20.749;6.992;3.585;9.232;10.182
5378;68.000;29.995;16.283;26.156;7.898;3.401;7.219;9.048
5382;65.900;30.091;16.237;24.200;7.530;3.579;8.124;10.239
5512;59.400;24.288;24.838;17.312;5.832;4.127;12.329;11.273
5513;51.300;19.625;25.669;15.628;5.218;4.592;16.428;12.840
5515;73.700;24.404;14.366;36.588;5.690;4.978;4.000;9.974
5554;65.000;41.539;16.128;20.634;6.817;2.529;5.419;6.935
5558;69.300;38.245;15.400;24.128;6.592;2.848;5.454;7.332
5562;58.300;25.650;23.590;18.603;5.873;4.038;11.460;10.787
5566;64.900;34.427;19.712;23.317;6.028;3.411;5.609;7.496
5570;65.000;35.558;17.773;22.086;6.691;3.202;6.691;7.999
5711;63.800;21.703;18.814;28.150;5.492;6.557;7.654;11.631
5754;62.300;32.160;16.892;24.256;6.353;3.444;7.672;9.224
5758;59.300;25.926;22.886;21.552;5.751;4.015;9.928;9.942
5762;62.200;39.908;16.479;16.953;6.469;3.161;8.215;8.815
5766;61.300;25.805;22.108;21.424;6.566;3.795;9.642;10.661
5770;59.100;27.441;23.483;20.588;6.183;3.598;9.102;9.605
5774;60.300;35.871;13.771;22.678;6.650;3.576;8.049;9.405
5911;61.100;19.819;23.007;24.384;5.585;5.676;9.483;12.047
5913;58.500;19.270;22.880;24.951;5.931;5.603;9.190;12.176
5914;55.700;24.151;22.312;18.321;6.446;4.373;12.598;11.799
5915;57.700;27.111;23.061;19.243;5.810;4.113;10.903;9.759
5916;53.700;20.041;26.762;17.477;5.093;5.059;13.240;12.328
5954;62.000;23.080;22.993;23.570;6.474;4.072;9.175;10.636
5958;62.100;41.592;17.171;15.998;6.778;2.845;7.409;8.208
5962;56.300;31.311;19.464;18.026;7.105;3.713;10.073;10.307
5966;63.500;46.012;15.446;14.669;6.810;2.508;7.334;7.221
5970;61.500;29.176;20.535;17.660;6.695;4.420;10.406;11.108
5974;60.500;33.447;17.930;21.070;7.024;3.582;8.113;8.834
5978;59.600;23.929;25.299;20.873;5.906;4.110;9.816;10.067
6411;66.100;16.289;15.178;33.639;5.659;7.121;6.468;15.645
6412;60.100;19.662;15.074;31.285;7.743;6.535;6.740;12.962
6413;51.500;20.372;16.265;25.824;5.536;7.282;10.114;14.607
6414;59.000;24.604;18.169;25.357;6.902;4.786;8.784;11.398
6431;60.500;28.540;17.289;21.801;6.818;3.322;11.236;10.994
6432;63.300;24.479;19.576;24.283;6.171;4.102;9.282;12.106
6433;57.300;23.840;20.030;22.822;5.349;4.559;10.469;12.930
6434;65.100;30.257;13.449;25.616;9.340;3.021;8.613;9.703
6435;56.200;26.316;17.878;20.886;6.179;3.730;12.466;12.544
6436;64.100;30.007;14.436;24.932;8.044;3.231;8.986;10.363
6437;56.300;26.661;21.959;17.723;6.448;4.366;11.595;11.247
6438;59.800;27.783;14.950;24.542;7.139;3.691;10.065;11.829
6439;64.700;29.533;17.109;23.085;7.037;3.297;9.761;10.177
6440;58.500;26.964;17.354;22.982;6.565;3.540;10.529;12.067
6531;57.500;23.279;18.423;24.934;5.305;5.053;9.672;13.334
6532;52.500;28.906;20.241;17.837;5.495;3.447;12.011;12.063
6533;55.300;32.108;18.436;18.343;6.400;3.034;11.089;10.590
6534;56.900;24.342;19.989;23.590;5.087;5.910;9.292;11.791
6535;56.400;29.195;21.044;16.585;6.177;3.527;12.386;11.085
6611;55.300;17.395;19.311;30.817;4.576;8.039;7.465;12.398
