AGS;ue;ue_rate1;ue_rate2;uerate1
01001;4174;8.7;8.0;8.70
01002;10556;8.3;7.6;8.30
01003;8400;8.1;7.3;8.10
01004;3386;8.8;7.9;8.80
01051;3815;6.1;5.5;6.10
01053;4918;5.2;4.7;5.20
01054;4501;5.3;4.8;5.30
01055;5257;5.6;5.0;5.60
01056;7943;5.1;4.5;5.10
01057;2677;4.5;4.0;4.50
01058;5597;4.4;3.9;4.40
01059;4617;4.7;4.3;4.70
01060;6202;4.5;4.0;4.50
01061;3634;5.7;5.1;5.70
01062;4001;3.4;3.1;3.40
02000;64774;7.0;6.1;7.00
03101;6848;5.3;4.9;5.30
03102;4770;9.6;8.8;9.60
03103;3058;4.9;4.5;4.90
03151;3806;4.4;4.0;4.40
03152;-;-;-;
03153;4044;6.5;5.9;6.50
03154;2873;6.3;5.8;6.30
03155;3604;5.6;5.1;5.60
03156;-;-;-;
03157;3205;4.9;4.4;4.90
03158;2807;4.8;4.4;4.80
03159;9172;5.8;5.3;5.80
03241;40180;7.0;6.4;7.00
03251;4708;4.3;3.9;4.30
03252;4709;6.7;6.1;6.70
03254;8517;6.3;5.7;6.30
03255;2263;6.9;6.3;6.90
03256;3209;5.2;4.8;5.20
03257;4329;5.8;5.3;5.80
03351;5261;6.3;5.7;6.30
03352;5356;5.7;5.2;5.70
03353;5155;4.1;3.7;4.10
03354;1665;8.1;7.3;8.10
03355;5162;5.8;5.3;5.80
03356;2020;3.7;3.3;3.70
03357;3259;3.9;3.6;3.90
03358;3974;5.8;5.3;5.80
03359;5701;5.5;5.0;5.50
03360;2359;5.5;5.0;5.50
03361;2922;4.3;4.0;4.30
03401;3642;10.3;9.4;10.30
03402;2235;8.9;8.2;8.90
03403;5836;6.6;6.1;6.60
03404;6259;7.2;6.6;7.20
03405;3987;11.3;10.3;11.30
03451;2406;4.0;3.6;4.00
03452;6498;6.9;6.3;6.90
03453;3737;4.2;3.9;4.20
03454;4357;2.6;2.4;2.60
03455;2159;4.7;4.3;4.70
03456;1879;2.7;2.5;2.70
03457;4642;5.7;5.2;5.70
03458;2281;3.4;3.1;3.40
03459;5923;3.2;2.9;3.20
03460;3000;3.7;3.4;3.70
03461;2795;6.4;5.8;6.40
03462;1553;5.8;5.4;5.80
04011;28382;10.3;9.5;10.30
04012;7320;13.4;12.2;13.40
05111;22478;7.2;6.6;7.20
05112;27831;11.9;10.8;11.90
05113;30749;11.1;10.2;11.10
05114;12233;11.0;10.1;11.00
05116;12570;9.8;9.0;9.80
05117;6112;7.8;7.1;7.80
05119;10892;10.8;9.8;10.80
05120;4182;7.8;7.0;7.80
05122;6128;7.7;7.1;7.70
05124;14753;8.8;8.1;8.80
05154;8592;5.6;5.2;5.60
05158;14694;6.2;5.6;6.20
05162;12104;5.5;5.0;5.50
05166;8617;5.8;5.3;5.80
05170;14511;6.5;5.9;6.50
05314;10849;6.9;6.3;6.90
05315;46397;8.5;7.8;8.50
05316;6306;7.9;7.2;7.90
05334;20840;7.5;6.9;7.50
05354;-;-;-;
05358;9062;6.9;6.3;6.90
05362;14667;6.3;5.7;6.30
05366;5286;5.3;4.9;5.30
05370;6815;5.5;5.0;5.50
05374;7322;5.3;4.9;5.30
05378;7889;5.7;5.2;5.70
05382;15668;5.3;4.8;5.30
05512;4244;7.7;7.0;7.70
05513;16616;14.1;12.8;14.10
05515;7855;5.0;4.6;5.00
05554;7420;3.7;3.4;3.70
05558;3363;3.0;2.7;3.00
05562;26429;8.8;8.1;8.80
05566;10152;4.3;4.0;4.30
05570;7208;5.0;4.6;5.00
05711;12970;7.9;7.3;7.90
05754;8355;4.3;4.0;4.30
05758;7044;5.6;5.1;5.60
05762;2824;4.1;3.7;4.10
05766;10779;6.4;5.8;6.40
05770;7927;5.2;4.7;5.20
05774;8603;5.4;5.0;5.40
05911;16300;9.3;8.5;9.30
05913;31870;11.1;10.1;11.10
05914;10047;11.0;10.0;11.00
05915;7569;8.8;8.1;8.80
05916;8132;11.4;10.3;11.40
05954;9527;6.1;5.5;6.10
05958;5925;4.4;4.0;4.40
05962;14109;6.8;6.2;6.80
05966;2662;3.6;3.3;3.60
05970;7164;5.0;4.5;5.00
05974;8478;5.5;5.0;5.50
05978;14367;7.4;6.8;7.40
06411;4417;5.5;5.0;5.50
06412;20486;5.5;5.0;5.50
06413;6289;9.4;8.6;9.40
06414;9745;7.0;6.3;7.00
06431;5077;3.8;3.5;3.80
06432;7173;4.8;4.3;4.80
06433;7081;5.2;4.7;5.20
06434;4060;3.8;3.4;3.80
06435;9349;4.5;4.1;4.50
06436;4216;3.7;3.3;3.70
06437;2287;4.8;4.4;4.80
06438;7583;4.4;4.0;4.40
06439;3858;4.3;3.9;4.30
06440;6382;4.3;3.8;4.30
06531;7623;5.8;5.3;5.80
06532;6640;5.3;4.8;5.30
06533;3735;4.5;4.0;4.50
06534;4989;4.1;3.7;4.10
06535;2131;4.1;3.7;4.10
06611;7836;8.0;7.3;8.00
06631;3338;3.0;2.7;3.00
06632;2338;4.0;3.6;4.00
06633;4550;4.0;3.6;4.00
06634;3177;3.6;3.2;3.60
06635;2994;3.8;3.4;3.80
06636;2459;5.3;4.7;5.30
07111;3421;6.0;5.5;6.00
07131;2411;3.8;3.4;3.80
07132;3059;4.7;4.2;4.70
07133;4650;6.0;5.5;6.00
07134;2453;6.2;5.6;6.20
07135;1032;3.4;3.0;3.40
07137;3694;3.5;3.1;3.50
07138;4510;5.1;4.6;5.10
07140;1900;3.6;3.2;3.60
07141;1837;3.1;2.8;3.10
07143;3148;3.0;2.8;3.00
07211;2949;5.3;4.9;5.30
07231;1910;3.3;3.0;3.30
07232;1299;2.6;2.4;2.60
07233;1255;4.1;3.7;4.10
07235;2111;2.8;2.6;2.80
07311;1558;7.4;6.7;7.40
07312;4678;9.4;8.6;9.40
07313;1220;5.1;4.7;5.10
07314;7448;9.0;8.1;9.00
07315;6370;5.8;5.3;5.80
07316;1479;5.6;5.1;5.60
07317;2276;11.9;10.7;11.90
07318;1569;6.3;5.7;6.30
07319;3026;7.3;6.6;7.30
07320;1086;6.5;5.9;6.50
07331;2615;4.0;3.6;4.00
07332;2551;3.9;3.5;3.90
07333;1940;5.2;4.6;5.20
07334;2833;4.2;3.8;4.20
07335;2724;5.3;4.8;5.30
07336;1589;4.7;4.2;4.70
07337;2183;3.9;3.5;3.90
07338;3022;3.8;3.4;3.80
07339;4000;3.8;3.4;3.80
07340;1915;4.1;3.7;4.10
08111;13999;4.4;4.1;4.40
08115;6129;3.1;2.8;3.10
08116;9691;3.5;3.2;3.50
08117;5042;3.9;3.5;3.90
08118;8797;3.1;2.8;3.10
08119;7414;3.4;3.1;3.40
08121;3376;5.2;4.7;5.20
08125;5696;3.1;2.8;3.10
08126;1582;2.6;2.4;2.60
08127;3084;3.0;2.7;3.00
08128;1981;2.9;2.6;2.90
08135;2775;4.2;3.8;4.20
08136;4981;3.1;2.8;3.10
08211;1254;4.8;4.3;4.80
08212;6575;4.3;3.9;4.30
08215;7027;3.1;2.8;3.10
08216;3855;3.2;2.9;3.20
08221;3055;4.4;4.0;4.40
08222;9032;5.8;5.3;5.80
08225;2476;3.4;3.0;3.40
08226;10603;3.8;3.5;3.80
08231;3756;6.1;5.6;6.10
08235;2576;3.2;2.9;3.20
08236;2603;2.6;2.3;2.60
08237;1914;3.0;2.8;3.00
08311;6087;5.3;4.9;5.30
08315;4017;3.0;2.7;3.00
08316;2426;2.8;2.5;2.80
08317;7368;3.2;2.9;3.20
08325;1871;2.6;2.3;2.60
08326;3576;3.3;3.0;3.30
08327;2183;3.0;2.7;3.00
08335;4942;3.4;3.1;3.40
08336;4404;3.7;3.4;3.70
08337;2772;3.2;2.9;3.20
08415;5295;3.6;3.3;3.60
08416;3286;2.9;2.6;2.90
08417;3402;3.5;3.2;3.50
08421;2380;3.6;3.3;3.60
08425;2637;2.5;2.3;2.50
08426;2297;2.2;2.0;2.20
08435;2855;2.6;2.3;2.60
08436;3874;2.6;2.4;2.60
08437;2006;3.0;2.7;3.00
09161;2379;3.3;2.9;3.30
09162;30557;3.8;3.5;3.80
09163;1381;4.3;3.9;4.30
09171;1758;3.1;2.8;3.10
09172;1733;3.7;3.3;3.70
09173;1471;2.3;2.1;2.30
09174;1641;2.0;1.8;2.00
09175;1453;2.0;1.8;2.00
09176;1031;1.5;1.3;1.50
09177;1494;2.0;1.8;2.00
09178;2237;2.3;2.0;2.30
09179;2986;2.7;2.5;2.70
09180;1243;3.0;2.7;3.00
09181;1430;2.4;2.2;2.40
09182;1192;2.4;2.2;2.40
09183;1961;3.4;3.0;3.40
09184;4151;2.5;2.2;2.50
09185;1105;2.2;1.9;2.20
09186;1228;1.8;1.6;1.80
09187;3155;2.5;2.2;2.50
09188;1604;2.7;2.4;2.70
09189;2515;2.9;2.6;2.90
09190;1585;2.4;2.1;2.40
09261;1718;4.7;4.2;4.70
09262;1197;4.7;4.2;4.70
