AGS,cut_point,Neue Fälle verg. 7 Tage pro 100.000 Einwohner,Ort,Zahl bestätigte Fälle,Todesfälle,Sterblichkeitsrate,confirmed_cases,deaths,death_rate,last7days
01001,0,0,Stadt Flensburg,48,3,6.25,48,3,6.25,0.00
01004,0,0,Stadt Neumünster,78,2,2.56,78,2,2.56,0.00
01054,0,0,Kreis Nordfriesland,89,1,1.12,89,1,1.12,0.00
01055,0,0,Kreis Ostholstein,68,0,0,68,0,0.00,0.00
01056,0,0,Kreis Pinneberg,601,46,7.65,601,46,7.65,0.00
01059,0,0,Kreis Schleswig-Flensburg,159,4,2.52,159,4,2.52,0.00
03154,0,0,Kreis Helmstedt,141,1,0.71,141,1,0.71,0.00
03155,0,0,Kreis Northeim,146,5,3.42,146,5,3.42,0.00
03157,0,0,Kreis Peine,161,11,6.83,161,11,6.83,0.00
03158,0,0,Kreis Wolfenbüttel,190,14,7.37,190,14,7.37,0.00
03255,0,0,Kreis Holzminden,106,7,6.6,106,7,6.60,0.00
03257,0,0,Kreis Schaumburg,161,7,4.35,161,7,4.35,0.00
03351,0,0,Kreis Celle,220,15,6.82,220,15,6.82,0.00
03353,0,0,Kreis Harburg,557,13,2.33,557,13,2.33,0.00
03354,0,0,Kreis Lüchow-Dannenberg,21,3,14.29,21,3,14.29,0.00
03355,0,0,Kreis Lüneburg,167,0,0,167,0,0.00,0.00
03360,0,0,Kreis Uelzen,44,0,0,44,0,0.00,0.00
03361,0,0,Kreis Verden,241,7,2.9,241,7,2.90,0.00
03402,0,0,Stadt Emden,19,0,0,19,0,0.00,0.00
03405,0,0,Stadt Wilhelmshaven,28,1,3.57,28,1,3.57,0.00
03451,0,0,Kreis Ammerland,190,5,2.63,190,5,2.63,0.00
03453,0,0,Kreis Cloppenburg,127,0,0,127,0,0.00,0.00
03456,0,0,Kreis Grafschaft Bentheim,249,18,7.23,249,18,7.23,0.00
03461,0,0,Kreis Wesermarsch,72,2,2.78,72,2,2.78,0.00
03462,0,0,Kreis Wittmund,41,0,0,41,0,0.00,0.00
05120,0,0,Stadt Remscheid,243,18,7.41,243,18,7.41,0.00
06534,0,0,Kreis Marburg-Biedenkopf,205,4,1.95,205,4,1.95,0.00
06635,0,0,Kreis Waldeck-Frankenberg,175,5,2.86,175,5,2.86,0.00
07111,0,0,Stadt Koblenz,266,18,6.77,266,18,6.77,0.00
07140,0,0,Kreis Rhein-Hunsrück-Kreis,168,6,3.57,168,6,3.57,0.00
07141,0,0,Kreis Rhein-Lahn-Kreis,159,6,3.77,159,6,3.77,0.00
07232,0,0,Kreis Eifelkreis Bitburg-Prüm,199,5,2.51,199,5,2.51,0.00
07233,0,0,Kreis Vulkaneifel,123,5,4.07,123,5,4.07,0.00
07311,0,0,Stadt Frankenthal (Pfalz),47,2,4.26,47,2,4.26,0.00
07317,0,0,Stadt Pirmasens,31,0,0,31,0,0.00,0.00
07319,0,0,Stadt Worms,224,7,3.12,224,7,3.12,0.00
07320,0,0,Stadt Zweibrücken,44,1,2.27,44,1,2.27,0.00
07331,0,0,Kreis Alzey-Worms,271,11,4.06,271,11,4.06,0.00
07332,0,0,Kreis Bad Dürkheim,329,12,3.65,329,12,3.65,0.00
07337,0,0,Kreis Südliche Weinstraße,156,3,1.92,156,3,1.92,0.00
07340,0,0,Kreis Südwestpfalz,106,3,2.83,106,3,2.83,0.00
08121,0,0,Stadt Heilbronn,472,17,3.6,472,17,3.60,0.00
08127,0,0,Kreis Schwäbisch Hall,873,59,6.76,873,59,6.76,0.00
08326,0,0,Kreis Schwarzwald-Baar-Kreis,586,33,5.63,586,33,5.63,0.00
08337,0,0,Kreis Waldshut,311,35,11.25,311,35,11.25,0.00
09171,0,0,Kreis Altötting,605,53,8.76,605,53,8.76,0.00
09176,0,0,Kreis Eichstätt,305,18,5.9,305,18,5.90,0.00
09180,0,0,Kreis Garmisch-Partenkirchen,294,18,6.12,294,18,6.12,0.00
09183,0,0,Kreis Mühldorf a. Inn,499,27,5.41,499,27,5.41,0.00
